Address;К газу;Ліч елек;Конт. Тех.;Вод.ліч. Імп.;Теп.лічильник;Частотник;ІР;бригада
Тарнавського, 114а, Львів;Універсал;НІК 2301;Vitotronik-300 K;немає;Danfoss Infokal-5;немає;10.0.0.9;Кузик
Тиктора, 2а,Львів;Універсал;Меридіан ЛТЕ- 1.03 ;Danfoss ECL-300;немає;UltraHeat T550/UH50;;10.65.0.5;Бас
Ш. Руставелі, 1, Львів;Універсал;НІК 2301;Vitotronik-300 K;немає;Danfoss Infokal-5;немає;10.0.0.31;Бас
Дрогобича, 5, Львів;Універсал;НІК 2301;Vitotronik-300 K;немає;Danfoss Infokal-5;немає;10.65.0.1;Бас
Братуня, 9а, Львів;OE-VPT;Меридіан ЛТЕ- 1.03 ;немає;немає;Ергомера ЕУС-125;немає;10.65.0.56;Бас
Зелена, 253, Львів;Універсал;Меридіан ЛТЕ- 1.03 ;Vitotronik-300 K;немає;Ергомера ЕУС-125;немає;10.0.0.41;Бас
Зелена, 477, Львів;OE-VPT;DLMS LZQJ-XC;немає;немає;Ергомера ЕУС-125;немає;10.65.0.77;Василик
Зелена, 111, Львів;OE-VPT(Imod) не чит. ;Меридіан ЛТЕ- 1.03 ;Комел РКК-4М;немає;Ергомера ЕУС-125;Danfoss;10.0.0.17;Василик
Китайська, 12а, Львів;OE-VPT;Енергомера  ЦЭ 6803В;Frisko;немає;Ергомера ЕУС-125;немає;10.65.0.54;Кузик
Кордуби, 12, Львів;OE-VPT;MASTER CT-ЭA 08 A;Vitotronik-300 K;немає;Sensus Pollustat EX;немає;10.65.0.94;Кузик
